Id,Title,URL,Date,Description,Categories,Image URL,Source
47,El coreógrafo Mourad Merzouki introduce el hip hop participativo y viral en la danza de los Juegos Olímpicos de París,,No Publication Date,El creador francés visita Madrid para difundir la pieza y presentar su obra ‘Phénix’,"['Cultura', 'Danza', 'Hip hop', 'Coreografías', 'Coreógrafos', 'Juegos Olímpicos 2024', 'Juegos Olímpicos', 'Breakdance', 'Artes escénicas', 'Espectáculos', 'Francia', 'París']",,El País
48,“No sé cómo he llegado hasta aquí”: así fue la espiral de autodestrucción de Capote tras traicionar a la ‘jet set’ ,,No Publication Date,"A punto de cumplirse 40 años de su prematura muerte, la serie ‘Feud: Capote vs. The Swans’ recuerda la pendiente de drogas y alcohol en la que cayó el escritor después de hacer lo único que jamás le perdonaría la alta sociedad neoyorquina: revelar sus miserias","['Truman Capote', 'Nueva York', 'Años 70', 'Años 80', 'Ryan Murphy', 'Literatura', 'Televisión', 'HBO']",,El País
49,"Sally Hayden: “Nuestros impuestos sirven para reforzar dictadores, señores de la guerra y sistemas que explotan a otros seres humanos”",,No Publication Date,"La periodista irlandesa especializada en migración publica en España ‘Cuando lo intenté por cuarta vez, nos ahogamos’, galardonado con el Premio Orwell de literatura política de 2022","['Refugiados', 'Mar Mediterráneo', 'Migrantes', 'Crisis humanitaria', 'Crisis refugiados Europa', 'Crisis migratoria', 'Libros', 'Literatura', 'Desarrollo África', 'Europa', 'Inmigración', 'Inmigración irregular', 'Inmigrantes', 'Inmigrantes africanos', 'Escritores', 'Periodismo', 'Periodistas']",,El País
50,"La relación Piñera-Guerrero-Cox, una amistad unida por los negocios y, a veces, por la política",,No Publication Date,"Ignacio Guerrero y José Cox son los dos grandes amigos y consejeros que estuvieron junto al expresidente Sebastián Piñera poco antes de su muerte. Una amistad que comenzó en los años 70, se afianzó en los 80 y que fue clave en su primer mandato en La Moneda","['Chile', 'América', 'Latinoamérica', 'Sebastián Piñera', 'Accidentes aéreos', 'Negocios']",,El País
51,Colegios de bajo coste para los niños del barrio keniano de Mathare,,No Publication Date,"Estas escuelas privadas atienden a familias en las zonas más pobres de la capital del país africano, donde no hay suficientes centros de enseñanza para poblaciones muy jóvenes","['Kenia', 'África', 'Desarrollo África', 'Educación', 'Nairobi', 'Colegios', 'Estudiantes', 'Profesorado', 'Crisis económica', 'Familia', 'Sistema educativo', 'Desigualdad social', 'Desigualdad económica', 'Educación primaria', 'Enseñanza pública', 'Enseñanza privada']",,El País
52,Desde la orilla,,No Publication Date,Estoy al frente de donde cayó el helicóptero que piloteaba Sebastián Piñera. Muchos no podían creerlo: yo sí.  Nunca fue adverso a los riesgos,"['Chile', 'América', 'Latinoamérica', 'Sebastián Piñera', 'Accidentes', 'Obituarios', 'Accidentes aéreos']",,El País
53,El precio de las reformas económicas de López Obrador: más de un 4% del PIB,,No Publication Date,"Analistas coinciden en que la reforma al sistema de pensiones, las ayudas a jóvenes desempleados y poner un salario mínimo para los trabajadores del sector público tendrá un costo que supera por mucho las previsiones del Gobierno ","['México', 'América', 'Latinoamérica', 'Economía', 'Reforma fiscal', 'AMLO - Andrés Manuel López Obrador', 'Claudia Sheinbaum', 'Elecciones México 2024', 'PIB', 'Impuestos']",,El País
54,Los trucos más efectivos para tener un pelo más brillante,,No Publication Date,Todo suma y todo resta cuando queremos tener un cabello brillante. Dermatólogos y expertos nos aclaran por qué cada pequeño gesto cuenta a la hora de conseguir una melena sana con un extra de luz,"['Cabello', 'Belleza', 'Truco', 'Dermatología', 'Tratamientos belleza', 'Cosméticos', 'Productos cabello']",,El País
55,Alerta tendencia: faldas y pantalones de efecto cuero,,No Publication Date,Seleccionamos diez propuestas para incorporar ya al armario y lucir también en primavera,"['Prendas de vestir', 'Moda', 'Tendencias', 'Estilo vida', 'Comercio electrónico', 'Ventas internet']",,El País
56,Cerrar un duelo histórico: los museos de EE UU aceleran la devolución de restos humanos a las tribus nativas,,No Publication Date,Una ley federal obliga a las instituciones a hacer inventario y a contar con el consentimiento de las naciones indígenas a la hora de exponer o investigar sus vestigios,"['Cultura', 'Estados Unidos', 'Indígenas', 'Museos', 'Descolonización', 'Arte']",,El País
